username,Average,Median,Mode,Max,Min,Below 100
DrPaulDWilliams,364.08,165.0,165,2399,111,1370
DrZoeWilliams,229.11111111111111,183.0,116,448,116,1370
DriveToyota,0.6983471074380165,1.0,0,5,0,1370
DuPont_News,83.53846153846153,51.0,46,395,41,1370
Dubb02,313.125,224.5,114,1089,114,1370
DubesAustralia,299.1818181818182,219.0,113,646,113,1370
DuncanSmithTD,221.3846153846154,106.0,86,1215,86,1370
Dupont9A,1680.2307692307693,916.0,242,10055,242,1370
E15Emerson,3.759562841530055,3.0,3,161,0,1370
EBELL_TheGOAT,446.7083333333333,245.5,219,1509,120,1370
ELehmannTV,2.2642487046632125,2.0,0,6,0,1370
EMR_Automation,2.729533678756477,3.0,2,6,0,1370
EWilliamsRacing,534.0,534.0,401,667,401,1370
E_Williams_1,230.44444444444446,230.0,245,379,138,1370
EarlyStart,16154.666666666666,780.0,769,46915,769,1370
EdWilliams_95,213.66666666666666,212.0,187,242,187,1370
EgyIndependent,45.0,45.0,45,45,45,1370
Ekanewilliams,189.5,189.5,142,237,142,1370
ElElegidoAAA,52.0,52.0,52,52,52,1370
ElieSaabWorld,1807.6666666666667,1914.0,1050,2459,1050,1370
EllenTraneNorby,1.0,1.0,1,1,1,1370
EmCollective,19.894736842105264,4.0,6,248,0,1370
EmbAusBrasil,1695.0,1695.0,1695,1695,1695,1370
EmerHigginsTD,191.25,186.0,140,253,140,1370
Emerson4OR,3.6923076923076925,4.0,4,6,0,1370
EmersonAnomia,199.27272727272728,5.0,1,2492,1,1370
EmersonBarrett,1187.9139784946237,1084.0,1592,4100,381,1370
EmersonBrooksLA,43.333333333333336,5.0,4,121,4,1370
EmersonCollege,20.258064516129032,2.0,2,322,0,1370
EmersonComRes,1.8692098092643052,2.0,1,6,0,1370
EmersonLotzia,48.49375709421113,2.0,1,9464,0,1370
Emerson_Marcus,5.647058823529412,2.0,1,112,0,1370
Emerson_News,3.088888888888889,3.0,2,6,0,1370
Emerson_Royal22,389.0,389.0,389,389,389,1370
Emerson_knives,4.548387096774194,5.0,6,6,1,1370
Equinox,565.5,565.5,384,747,384,1370
EquinoxBulgaria,518.5,518.5,416,621,416,1370
EricssonCareers,46.0,46.0,46,46,46,1370
EricssonEU,121.0,121.0,121,121,121,1370
EricssonIndia,445.9838129496403,267.0,46,11111,41,1370
EricssonIoT,46.666666666666664,46.0,46,53,41,1370
EricssonMEA,789.9752066115702,499.0,49,3034,46,1370
EricssonNA,83.4,79.0,41,134,41,1370
EricssonNetwork,66.54285714285714,57.0,41,281,41,1370
EricssonSoftw,178.3,58.5,41,1249,41,1370
Ericsson_Marcus,957.9802955665025,583.0,363,15853,87,1370
Ernie_Hudson,320.05882352941177,149.0,75,1619,75,1370
EuroLeague,235.92900738837133,37.0,19,16030,0,1370
ExpertZone,83.0,81.0,54,116,54,1370
FCBarcelona,28532.55477031802,22928.5,16554,255667,16370,1370
FCBarcelona_es,26758.4,25992.0,16654,56647,16654,1370
FFesportsBR,373.0,373.0,373,373,373,1370
FNDuffy,522.0,522.0,522,522,522,1370
FSCArmy,79.8,56.5,49,191,44,1370
FaZe_Kitty,853.2459016393443,440.0,148,9512,139,1370
FabyApacheAAA,44.0,44.0,44,44,44,1370
FacebookGaming,250.4931506849315,131.0,83,3866,65,1370
FairwayMC,68.6,48.0,44,220,44,1370
FaithNoMore,5521.0,2249.0,1202,16384,1202,1370
FanumTV,1866.25,1159.5,603,8444,603,1370
Farrell_Mairead,291.95238095238096,196.0,85,915,85,1370
FedEx,712.4835164835165,504.0,214,3448,165,1370
FedExCanada,1941.0,1941.0,1941,1941,1941,1370
FedExChamp,417.3,260.5,173,1467,173,1370
FedExEurope,496.3985507246377,284.5,175,4046,166,1370
FedExOffice,436.2,307.0,171,1577,171,1370
FedExPolicy,306.0,332.0,221,365,221,1370
Fiery01Red,141.78571428571428,134.5,147,221,111,1370
Fiona_HS,102.0,102.0,102,102,102,1370
FlorenceW94,881.4285714285714,270.0,144,3988,144,1370
FoodLion,22.424,5.0,4,498,0,1370
FoodWarsAnime,2049.1266666666666,1851.5,1081,8183,841,1370
FootySuperTips,125.66873545384018,77.0,45,2254,44,1370
FreeBeacon,528.659793814433,108.5,44,14514,44,1370
FreeEnterprise,55.0,55.0,55,55,55,1370
FreeFireBR,178.33333333333334,141.5,77,455,77,1370
FreeFire_NA,79.16,51.0,44,420,44,1370
FreeGuyMovie,6530.2,2514.0,609,14638,609,1370
FreeHugsProject,65.57142857142857,54.0,46,91,46,1370
FreeLawProject,84.0,84.0,77,91,77,1370
FreeLibrary,121.64,79.0,45,773,45,1370
FreeLionesses,55.75,54.5,48,71,45,1370
FreeNow_IE,570.4,140.0,57,2201,57,1370
FreePeople,118.4327485380117,79.0,44,1413,44,1370
FreePressK,118.33333333333333,72.0,47,236,47,1370
FreeRoCoalition,99.33333333333333,79.5,63,183,63,1370
FreeTV,223.5,223.5,193,254,193,1370
FreeandEqual,91.0,106.0,50,117,50,1370
Freecomicbook,147.69298245614036,85.5,47,2087,44,1370
FrewFilm,735.4,240.5,149,3695,149,1370
FundacionAXA,54.0,54.0,54,54,54,1370
GDLMetro,54.0,54.0,54,54,54,1370
GEHealthCare,126.51428571428572,76.0,41,996,41,1370
GM,246.62376237623764,146.0,107,4461,105,1370
GMFleet,269.5,269.5,207,332,207,1370
GSCareers,61.75,53.5,51,93,47,1370
GSWilliams_News,153.0,153.0,153,153,153,1370
GabbyWilliamsMP,383.1,246.0,119,1793,119,1370
GarethWyn84,128.0,128.0,128,128,128,1370
GaryAWilliams,290.3333333333333,154.0,114,1802,114,1370
GaryBellJr_,196.0,196.0,161,231,161,1370
GaryGannonTD,306.6388888888889,147.0,107,3771,85,1370
Garywilliams1Up,230.8,229.0,129,454,129,1370
GavinFree,5799.038759689923,4224.0,157,32863,71,1370
GeneralMills,92.75,71.5,100,313,42,1370
George7Williams,351.4146341463415,274.0,201,1767,122,1370
George_Willo,296.625,242.0,147,644,147,1370
Georgeatasda,47.0,47.0,47,47,47,1370
GettyImages,200.9,136.0,88,1224,86,1370
GettyImagesNews,878.6219512195122,186.5,102,20398,86,1370
GettySport,230.54088050314465,139.0,98,4414,86,1370
GettyVIP,1266.8776119402985,181.0,98,53592,86,1370
GifGordon,8456.0,8456.0,7656,9256,7656,1370
GlenWilliams12,227.0,166.0,113,502,113,1370
GlobeKPD,117.15625,78.0,66,702,44,1370
GoMikeG,170.48611111111111,105.5,49,1518,46,1370
GodsWarrior615,234.78947368421052,187.0,115,777,115,1370
GoldmanSachs,105.672,61.0,41,2897,41,1370
Gradient,85.57142857142857,64.0,44,156,44,1370
Grant2Will,1515.1875,623.0,120,6172,120,1370
Greedy,3173.75,971.5,208,18305,208,1370
Greenpeace,544.2316455696202,359.0,242,33198,228,1370
GreenpeaceAP,408.27272727272725,324.0,252,828,252,1370
GreenpeaceAT,404.0,404.0,404,404,404,1370
GreenpeaceEAsia,234.0,234.0,234,234,234,1370
GreenpeaceEU,944.4666666666667,366.5,256,4369,229,1370
GreenpeaceID,409.0,409.0,409,409,409,1370
GreenpeaceMY,280.0,280.0,280,280,280,1370
GreenpeaceNZ,357.0344827586207,291.0,228,1256,228,1370
GreenpeaceUK,612.6666666666666,404.0,229,4199,229,1370
Greenpeace_ITA,379.0,379.0,379,379,379,1370
Greenpeaceafric,330.0,303.0,234,427,234,1370
GroupeRenaultEV,100.59,66.5,59,1059,53,1370
Groupon,432.1290322580645,130.0,78,2408,44,1370
GuiaMichelin_ES,202.0,202.0,202,202,202,1370
HALcruises,84.7875,66.5,59,265,54,1370
HMcEntee,290.05785123966945,154.0,99,6594,85,1370
HP,99.58441558441558,67.0,59,1180,41,1370
HPCanada,114.0,143.0,47,146,47,1370
HPCareers,995.5,671.5,48,4814,48,1370
HPGraphicArts,86.5,87.5,46,125,46,1370
HPIndia,528.0701754385965,167.0,72,3718,47,1370
HPSupport,43.0,43.0,43,43,43,1370
HPSustainable,44.0,44.0,44,44,44,1370
HPUK,45.0,45.0,45,45,45,1370
HP_Australia,638.0,638.0,638,638,638,1370
HPandMe,100.0,100.0,100,100,100,1370
HSBC,95.31818181818181,69.5,43,531,43,1370
HSBC_AUS,135.5,135.5,130,141,130,1370
HSBC_CA,515.0,515.0,515,515,515,1370
HSBC_EG,111.6,102.0,52,220,42,1370
HSBC_IN,185.3181818181818,135.5,46,600,46,1370
HSBC_Sport,346.96691176470586,98.5,41,10571,41,1370
HSBC_UAE,176.34146341463415,88.0,88,857,41,1370
HSBC_UK,377.8453608247423,133.0,41,4813,41,1370
HSBC_US,68.5,68.5,59,78,59,1370
HUGOBOSS,2445.3809523809523,417.0,157,20601,157,1370
HUL_News,552.2352941176471,80.0,55,6270,55,1370
HVRenegades,125.33333333333333,89.0,86,201,86,1370
HWmusictweets,133.0,133.0,133,133,133,1370
HaleyRhiannon,2939.25,643.5,236,16838,236,1370
HappyWoman9,426.25714285714287,220.0,111,1731,111,1370
HarrisTeeter,149.82089552238807,80.0,63,653,41,1370
HarvesterUK,83.63636363636364,73.0,45,177,45,1370
Hayden_Williams,561.4932432432432,184.5,111,16460,111,1370
Heineken,195.92307692307693,140.0,121,1137,85,1370
HeinekenUSACorp,171.0,171.0,171,171,171,1370
Heineken_IE,129.25,135.5,91,155,91,1370
Heineken_MX,4028.0,4028.0,4028,4028,4028,1370
Heineken_SA,281.6164383561644,169.0,132,1297,85,1370
Heineken_US,232.2,165.0,85,437,85,1370
HenrySchein,103.0,103.0,43,163,43,1370
Herbalife,164.84466019417476,149.0,141,397,127,1370
HerbalifeNews,154.83333333333334,143.0,131,222,131,1370
Hertz,171.31506849315068,130.0,43,842,41,1370
HertzArena_,164.66666666666666,181.0,129,184,129,1370
HertzBarry,334.8695652173913,73.5,44,9149,41,1370
HertzUK,78.25,53.5,42,190,42,1370
HiImDonBell,296.0,296.0,296,296,296,1370
HighRizer22,421.0,237.0,130,896,130,1370
HilikBar,142.0,142.0,142,142,142,1370
HitachiGlobal,57.13333333333333,46.0,42,134,42,1370
HitachiRailENG,104.90322580645162,83.0,46,472,41,1370
Hitachi_US,78.47368421052632,63.5,43,316,43,1370
HobbyLobby,8.169207317073171,7.0,5,153,0,1370
HollyCairnsTD,576.6181818181818,213.0,111,6786,89,1370
HoloLens,336.3333333333333,128.0,50,8088,50,1370
HomeDepot,278.2866666666667,196.0,118,1727,111,1370
HomeDepotCanada,225.0,225.0,225,225,225,1370
HomeDepotCareer,342.6666666666667,343.0,114,906,114,1370
HomeDepotFound,235.1054852320675,172.0,124,1261,111,1370
HomeDepotGR,247.92592592592592,198.0,174,514,132,1370
HomeFreeGuys,227.2972292191436,202.0,166,1593,44,1370
Honeywell_Aero,208.9090909090909,117.5,73,753,55,1370
Honeywell_Home,162.0,162.0,94,230,94,1370
HoyNoSeSale,3333.0,3333.0,3333,3333,3333,1370
HubSpot,73.43529411764706,57.0,42,426,41,1370
HubSpotAcademy,66.92857142857143,61.0,68,132,42,1370
HudMo,436.08035714285717,199.5,78,16299,71,1370
Hud_swafford,826.0,132.5,81,4138,81,1370
Hudindick,1658.75,1524.5,685,2901,685,1370
HudsonBooks,1020.0,1020.0,1020,1020,1020,1370
HudsonInstitute,447.7857142857143,152.0,75,2360,75,1370
HudsonLeick,126.95238095238095,111.0,72,332,72,1370
HudsonMoore,91.08333333333333,80.5,74,145,71,1370
HudsonRiverPark,106.42857142857143,98.0,72,185,72,1370
HudsonTaylor,117.10666666666667,91.0,81,434,71,1370
HumansAMC,65.28301886792453,70.0,87,88,14,1370
Hunt_Wx,210.625,181.5,127,373,127,1370
HywelPlaidCymru,261.6923076923077,183.0,113,872,113,1370
IAMJHUD,1415.3125,410.5,383,15695,95,1370
IAU_org,84.26315789473684,54.0,41,425,41,1370
IBM,273.3084832904884,146.0,68,4438,41,1370
IBMBlockchain,67.625,57.0,41,286,41,1370
IBMCanada,79.71428571428571,77.0,41,155,41,1370
IBMDACH,76.0,58.0,49,121,49,1370
IBMData,88.46666666666667,66.0,42,393,41,1370
IBMDeveloper,135.95,55.0,43,765,41,1370
IBMEurope,201.33333333333334,203.0,125,276,125,1370
IBMEuropePolicy,56.5,56.5,53,60,53,1370
IBMIBV,79.7,62.5,42,273,42,1370
IBMIoT,70.9,65.0,41,117,41,1370
IBMItalia,59.5,51.5,41,100,41,1370
IBMMEA,141.7,103.5,111,341,51,1370
IBMNews,189.7032967032967,90.0,52,2310,41,1370
IBMPartners,45.0,45.0,45,45,45,1370
IBMResearch,102.73979591836735,68.0,43,1080,41,1370
IBMSecurity,275.25925925925924,116.0,116,1684,51,1370
IBMSports,638.6666666666666,105.0,48,8364,41,1370
IBMStorage,310.15384615384613,155.0,42,1235,42,1370
IBMUKI,68.43478260869566,61.0,82,129,41,1370
IBMWatson,80.61256544502618,58.0,41,759,41,1370
IBMZ,82.1875,53.0,43,572,41,1370
IBM_iX,46.666666666666664,43.0,43,54,43,1370
IBMcloud,85.6590909090909,53.5,43,639,41,1370
IBMservers,289.04761904761904,57.0,56,2171,41,1370
ICBA,55.125,53.0,41,87,41,1370
ICICIBank,207.17389807162533,8.0,6,8564,0,1370
ICICIBank_Care,5.454545454545454,5.5,6,12,2,1370
IDiplomat,54.857142857142854,47.0,41,76,41,1370
IEfinanceHRs,51.0,50.0,47,61,47,1370
IFFBoston,71.125,61.5,41,141,41,1370
IHOP,4248.425,878.5,274,62177,274,1370
ILoveBlueBell,327.54237288135596,249.0,123,1982,113,1370
ISC_schools,80.27586206896552,61.0,47,298,43,1370
ITG_Ltd,109.22340425531915,76.5,42,656,41,1370
IVW_UK,71.1,56.5,46,283,42,1370
IWF,176.06694560669456,73.0,48,2852,41,1370
IWV,351.64502164502164,83.5,48,41410,41,1370
IYCHimachal,73.6842105263158,53.0,44,310,41,1370
I_AM_DIANNA,317.2307692307692,198.5,205,1568,113,1370
Iam_J3,706.0,706.0,706,706,706,1370
Ian_Bell,1402.4470588235295,628.0,117,25577,108,1370
Iberia,88.0,88.0,88,88,88,1370
ImDukeDennis,1833.5547445255474,1183.0,658,17773,564,1370
ImaniWilliamstv,262.0,262.0,262,262,262,1370
InNath,0.7777777777777778,0.0,0,8,0,1370
Independent,325.8887987012987,90.0,48,85201,41,1370
IndependentAge,89.72727272727273,69.0,50,386,43,1370
IndependentInst,64.6,67.0,42,91,42,1370
IndependentLens,190.05555555555554,69.0,41,4075,41,1370
IndependentNGR,0.26982505031738657,0.0,0,217,0,1370
IndependentNL,47.0,47.0,47,47,47,1370
IndependentSage,340.06872852233676,123.0,48,4992,41,1370
IndiaFreeFire,196.9404761904762,200.5,61,950,45,1370
IndoBusiness,53.0,53.0,42,64,42,1370
IndoEnts,98.6875,61.0,41,371,41,1370
IndoSport,109.35492227979275,67.5,41,1425,41,1370
Indo_LIFE,60.4,60.0,42,78,42,1370
Indo_Style_,86.0,86.0,58,114,58,1370
Indo_Travel_,95.08333333333333,69.5,42,351,41,1370
IndpRestaurants,107.21518987341773,72.0,69,790,41,1370
IndyArts,186.5,61.5,45,700,45,1370
IndyLife,102.8,87.0,67,160,67,1370
IndyMusic,441.89473684210526,71.0,62,3838,41,1370
IndyTravel,257.0,257.0,257,257,257,1370
IndyVoices,108.0,108.0,108,108,108,1370
InsideNatGeo,2885.5,2885.5,2822,2949,2822,1370
InsidePMI,55.5,47.5,41,104,41,1370
InsideVerizon,62.301587301587304,48.0,42,299,41,1370
InstagramComms,2364.0,2364.0,2364,2364,2364,1370
IpsoNews,409.6666666666667,106.0,82,1041,82,1370
J15Emerson,32.982394366197184,3.0,1,1332,0,1370
JBARsodmg,89.4,98.0,68,106,68,1370
JDAWGNOCEILINGS,1211.0,1211.0,1211,1211,1211,1370
JDCLASSIC,344.3333333333333,357.0,284,392,284,1370
JDWFashion,249.5,249.5,122,377,122,1370
JDeanWilliams,507.06060606060606,286.0,165,5085,112,1370
JHWreporter,1932.608695652174,229.0,172,28073,111,1370
JLaPuma,679.4461538461538,518.0,353,2552,254,1370
J_Bell_11,828.0,311.0,111,2062,111,1370
J_M_Renault,84.0909090909091,84.0,53,153,53,1370
J_Williams99,549.625,484.5,260,1268,260,1370
JakeStateFarm,772.6896551724138,170.5,89,10798,82,1370
Jakob_Emerson,2.0833333333333335,2.0,2,4,0,1370
JamesBrowneTD,332.3333333333333,244.0,111,642,111,1370
JamieHudson_,192.01709401709402,129.0,77,1619,71,1370
JarrettBell,1236.5,1236.5,193,2280,193,1370
JasonBell33,344.7936507936508,283.0,123,1369,122,1370
JenXperience,628.5555555555555,449.0,127,1742,127,1370
Jeremy_Eaton,179.84313725490196,101.0,66,784,61,1370
JessicaBellTO,178.77777777777777,132.0,114,360,114,1370
JevonWilliamsVI,598.6875,214.0,111,3162,111,1370
JimCameron,9513.545454545454,1607.0,406,84317,406,1370
JimWilliamsCBS2,323.2,172.0,126,792,126,1370
Jodiealicia27,291.0,199.0,158,516,158,1370
JoeAllenWC2,62.0,57.0,57,121,41,1370
JoejuanW,841.0333333333333,402.0,133,5672,133,1370
JoelTory,204.0,196.0,167,282,167,1370
JohnBell,2274.375,1454.0,127,11686,127,1370
JohnBellNC,233.5,233.5,118,349,118,1370
JohnDeere,405.21505376344084,344.0,218,1394,218,1370
JohnLahart,434.75,189.5,118,1242,118,1370
John_Hudson,630.4905660377359,237.0,92,6573,72,1370
JohnnyGuirke,165.76923076923077,114.0,114,450,87,1370
Johnny_Wills0,133.0,133.0,133,133,133,1370
JoiqueBell,1836.3333333333333,202.0,109,5198,109,1370
JonoWilliams10,287.0,287.0,287,287,287,1370
JordanTVNews,115.0,115.0,115,115,115,1370
JoshuaBellMusic,235.55,179.0,123,721,123,1370
JumaaneWilliams,785.4305555555555,268.5,145,8741,111,1370
JustinWilliams,1797.25,1706.0,228,5754,228,1370
JusttNic,264.0,264.0,264,264,264,1370
Jwillpart2,385.0,263.5,142,784,142,1370
JxnFreePress,119.25,95.0,45,414,44,1370
KGFTheFilm,378.3333333333333,403.0,252,480,252,1370
KLW77_,278.5,278.5,206,351,206,1370
KTM_Racing,4486.0,4486.0,4486,4486,4486,1370
KWill_24,2511.0,739.0,128,6666,128,1370
KWilliamsWTKR,159.0,159.0,159,159,159,1370
KabbageInc,74.0,68.5,60,99,60,1370
KaggyFilms,2217.317073170732,1552.0,1050,10698,1050,1370
KaiCenat,1923.9117647058824,1519.0,578,5614,578,1370
KaitMcAfee,4.083333333333333,1.0,1,24,0,1370
KamiiRL,214.83333333333334,209.0,154,278,154,1370
KangHexin,390.3333333333333,100.0,82,989,82,1370
KarenBell,230.0,230.0,230,230,230,1370
KarliBell33,164.66666666666666,153.5,108,235,108,1370
KatCameron91,288.0,288.0,288,288,288,1370
KateWilliamsme,362.9530516431925,194.0,111,3854,111,1370
Katie_WJourno,584.0,584.0,584,584,584,1370
KelWilliams21,211.33333333333334,239.0,139,256,139,1370
KennyWilliamsUK,275.27777777777777,237.0,118,614,118,1370
KeshMan_,536.6666666666666,627.0,216,767,216,1370
Khristina,340.0,218.0,166,1267,112,1370
KillaCam_3_,332.0,277.0,153,1015,153,1370
KimmyBOfficial,1184.0,1184.0,1184,1184,1184,1370
KindleIndia,855.75,620.5,282,1900,282,1370
KingCountyMetro,115.61224489795919,60.0,53,1118,42,1370
KingsDominionVA,197.3,199.0,215,215,174,1370
Kirsty_Williams,352.57142857142856,186.0,129,1147,129,1370
KrisWilliams,237.36974789915968,190.0,116,1454,111,1370
KurleyRolandCam,146.0,146.0,146,146,146,1370
Kylecam97,241.5,241.5,171,312,171,1370
Kyrenwilliams23,630.72,572.0,138,2006,138,1370
LACOSTE_JAPAN,30.785714285714285,22.0,8,70,8,1370
LAWilliams30,142.0,142.0,142,142,142,1370
LCWxDave,244.0,244.0,244,244,244,1370
LFPress,101.15238095238095,71.0,44,841,44,1370
LGSouthAfrica,244.41666666666666,213.5,52,575,52,1370
LGUS,237.68493150684932,80.0,43,6898,43,1370
LHTechnik,1012.3333333333334,423.0,359,2255,359,1370
LIFT_Labs,380.5952380952381,181.5,61,4325,44,1370
LOOKMUMNOCMPUTR,1512.0,1512.0,1220,1804,1220,1370
LUNAbar,215.6,156.0,95,551,95,1370
Lacoste,331.50485436893206,59.0,23,10974,10,1370
LanceHoyt,518.4166666666666,265.0,167,18457,148,1370
LauraBellBundy,159.5,159.5,151,168,151,1370
LauraleeB4real,575.0479452054794,425.5,148,3154,110,1370
LaurelNBCMT,4814.0,4814.0,4814,4814,4814,1370
LaytonWilliams,421.04597701149424,240.0,119,5085,111,1370
LeVeonBell,7391.732984293194,4394.0,463,127863,107,1370
LeeHudson_,211.75,88.0,73,598,73,1370
Lencare_In,570.4666666666667,528.0,100,1427,100,1370
Lenovo,492.0975609756098,113.0,73,24149,71,1370
LenovoANZ,210.33333333333334,180.0,113,338,113,1370
LenovoCanada,90.0,90.0,90,90,90,1370
LenovoEducation,74.0,74.0,74,74,74,1370
LenovoLegion,1354.6242774566474,228.0,84,17632,71,1370
LenovoLegionANZ,136.21428571428572,124.0,78,225,78,1370
Lenovo_Africa,804.0,689.0,394,1201,394,1370
Lenovo_ME,337.0,350.0,74,587,74,1370
Lenovo_in,1700.7019867549668,661.0,147,37407,71,1370
Lenovodc,157.33333333333334,189.0,89,194,89,1370
Leonardo_Astro,431.7894736842105,121.0,55,2444,55,1370
LexiOHudson,116.5,116.5,101,132,101,1370
LexieMayHudson,1039.5,1039.5,190,1889,190,1370
Liamwilliamsko,275.75,172.5,121,1523,119,1370
LifeatSAP,83.15094339622641,63.0,41,292,41,1370
Lily4Liberty,234.0,200.0,120,382,120,1370
LindseyEatoNews,177.48076923076923,93.0,66,1422,60,1370
LindseyForPA,130.0,130.0,122,138,122,1370
LisaDNews,246.36363636363637,134.0,6,3369,2,1370
LittleGleeMonst,7075.4,6858.5,3626,12285,3626,1370
LiveAmp,1219.6739130434783,951.0,588,4357,577,1370
LiveNationGSA,1576.5384615384614,758.0,53,6005,53,1370
Lootrunnermario,566.081081081081,337.0,115,6698,115,1370
LouisStaples,1529.078125,259.5,127,63379,102,1370
LouisVuitton,11386.795454545454,7498.0,2981,75873,2981,1370
LuchaAztecaAAA,50.0,50.0,50,50,50,1370
LucyJo_Hudson,256.0,256.0,122,390,122,1370
Lufthansa_India,1204.8677685950413,736.0,357,5414,320,1370
LunchBar_SA,395.0833333333333,217.0,76,1522,76,1370
M0lly_Writes,183.0,95.0,80,855,71,1370
MAS,591.0555555555555,410.0,263,1931,263,1370
MAstartpath,49.0,49.0,49,49,49,1370
MDOT_MetroDet,394.0,394.0,394,394,394,1370
METROFMSA,312.15575358388224,170.0,100,10459,96,1370
METROHouston,96.3,70.5,53,278,47,1370
METRO_News,1831.5,846.5,41,5592,41,1370
MFG_GM,185.6875,168.5,113,318,113,1370
MHinfo_en,491.5389221556886,354.0,166,3537,147,1370
MKWilliamsRome,256.1515151515151,168.0,125,873,115,1370
MNPDNashville,479.91360294117646,103.5,49,73874,41,1370
MO_Independent,168.0,168.0,168,168,168,1370
MSBing_Dev,176.0,176.0,176,176,176,1370
MSCloud,564.0588235294117,94.0,51,1966,51,1370
MSEdgeDev,300.8390804597701,86.0,69,7326,50,1370
MSEduANZ,119.55555555555556,74.0,55,451,55,1370
MSEducationUK,78.68627450980392,62.0,58,460,50,1370
MSEurope,121.17857142857143,106.0,80,496,51,1370
MSFSofficial,542.5119047619048,448.0,107,4174,82,1370
MSFTBusinessUK,121.4,97.0,90,300,50,1370
MSFTGameDev,184.95652173913044,72.0,52,1315,52,1370
MSFTImagine,83.88372093023256,61.0,50,341,50,1370
MSFTIssues,236.71052631578948,138.5,74,1558,53,1370
MSFTMechanics,66.28461538461538,59.0,51,178,50,1370
MSFTReactor,97.0,97.0,87,107,87,1370
MSFTResearch,164.4,74.0,53,2359,50,1370
MSFT_Business,115.17647058823529,81.0,57,239,57,1370
MSFT_Military,329.5,329.5,116,543,116,1370
MSFTnews,134.66666666666666,116.0,102,331,52,1370
MSIntune,86.38709677419355,74.0,51,247,51,1370
MSMakeCode,96.33333333333333,62.0,54,205,54,1370
MSPTNR_Innovate,74.0,74.0,54,94,54,1370
MSPartnerLatam,104.0,104.0,51,157,51,1370
MSPowerApps,237.8,73.5,59,2047,51,1370
MSPowerAutomate,148.44444444444446,86.5,60,663,53,1370
MSPowerBI,72.9054054054054,61.0,50,393,50,1370
MSTheater,457.3,162.0,63,3836,50,1370
MS_ITPro,102.33333333333333,101.0,87,119,87,1370
MS_ITProCA,80.0,80.0,80,80,80,1370
MS_Ignite,134.05263157894737,93.0,50,815,50,1370
MTN180,115.28571428571429,101.5,77,188,71,1370
MTNCameroon,135.0,135.0,135,135,135,1370
MTNDEWGaming,731.8640776699029,233.0,77,21313,70,1370
MTNGhana,347.2491103202847,119.5,71,6626,69,1370
MTNNG,276.0361842105263,104.0,69,7276,69,1370
MTNRwanda,129.13333333333333,104.0,70,373,70,1370
MTNSwaziland,121.0,133.0,80,149,80,1370
MTN_Zambia,227.6,87.0,87,469,69,1370
M_Hudson5,529.9375,159.0,71,3055,71,1370
Mainstreethfx,58.0,58.0,54,62,54,1370
Maisie_Williams,6367.391304347826,3733.0,505,17309,505,1370
Maister_SSB,652.11,348.0,60,7941,45,1370
MajorWilliamsCA,421.0285714285714,237.0,239,4476,111,1370
MakeAWishMNY,205.5,57.5,43,634,43,1370
MalinsWorld,304.2,398.0,398,399,148,1370
MammothWhale,16848.333333333332,248.0,145,99967,145,1370
MandyBell02,688.0204081632653,304.0,111,13826,108,1370
MarcHudson,192.66666666666666,187.0,135,353,76,1370
MarcKC_Green,176.0,135.0,93,575,93,1370
MarcMcAfee,13.826923076923077,1.0,0,301,0,1370
MarcusWilliams,931.5909090909091,429.0,166,4190,166,1370
MarionRenault,94.66666666666667,87.0,62,135,62,1370
MarkWi1liams,820.4666666666667,411.0,120,3021,120,1370
MarlonWMusic,209.0,209.0,209,209,209,1370
Martin1Williams,570.9230769230769,136.0,116,8848,112,1370
MartyMargg1,274.63157894736844,254.0,111,538,111,1370
MaryBelkNC,56.0,56.0,56,56,56,1370
Mastercard,449.50632911392404,117.0,41,9612,41,1370
MastercardAP,314.2631578947368,126.0,41,1474,41,1370
MastercardAU,520.5,520.5,72,969,72,1370
MastercardCA,172.12121212121212,75.0,44,1554,41,1370
MastercardEU,176.21052631578948,119.0,45,788,42,1370
MastercardFdn,94.75,60.0,45,1625,41,1370
MastercardMEA,250.6,156.0,43,777,43,1370
MastercardNews,223.38947368421051,104.0,42,4982,41,1370
MattWi77iams,275.22222222222223,179.0,124,807,124,1370
MayoClinic,121.08599167822469,83.0,62,1549,60,1370
McAfee,8.09809663250366,5.0,4,331,0,1370
McAfee_Help,0.32471264367816094,0.0,0,5,0,1370
McAfee_Home,15.5,5.0,3,364,0,1370
McAfee_Labs,5.444915254237288,4.0,3,32,0,1370
McAfee_UK,1.0,1.0,0,2,0,1370
McDMalaysia,4557.5,4557.5,4554,4561,4554,1370
McGrone_Strong,2438.0,2438.0,2438,2438,2438,1370
MeCookieMonster,5753.309090909091,3484.0,1224,29847,1224,1370
MeLlamoTrevor,1247.6052631578948,471.5,117,37716,117,1370
MeatFreeMonday,838.8857142857142,75.0,47,22751,45,1370
MelissaBellCNN,108.0,108.0,108,108,108,1370
MeltBarGrilled,322.0,95.0,78,793,78,1370
MerEaton,380.47222222222223,346.5,126,1528,63,1370
MetLife,5.726937269372693,4.0,3,152,0,1370
MetLifeStadium,2136.176470588235,48.5,4,51561,0,1370
MetroBogota,145.0,50.0,48,337,48,1370
MetroBoomin,15084.10465116279,6826.5,66,77783,66,1370
MetroByTMobile,103.83783783783784,64.0,46,500,42,1370
MetroChicago,137.88888888888889,78.0,42,1345,41,1370
MetroRadioNews,201.37142857142857,64.0,50,2755,41,1370
